Variable Name,Address,Data Type,I/O Type,ISA Tag,Description
TI_2909_Raw,%IW0,INT,AI,TI-2909,"Temperature indicator on inlet piping to E-234-009, field-mo"
TI_2917HH_Raw,%IW2,INT,AI,TI-2917HH,"Temperature indicator high-high alarm, square symbol with HH"
TT_2909_Raw,%IW4,INT,AI,TT-2909,Temperature transmitter on inlet line to E-234-009 (left sid
TT_2911_Raw,%IW6,INT,AI,TT-2911,Temperature transmitter on outlet line from E-234-009 (right
TT_2917_Raw,%IW8,INT,AI,TT-2917,"Temperature transmitter on outlet/downstream line, field-mou"
XI_2901A_Raw,%IW10,INT,AI,XI-2901A,"Status indicator AVAILABLE for pump A, panel-mounted square "
XI_2901B_Raw,%IW12,INT,AI,XI-2901B,"Status indicator AVAILABLE for pump B, panel-mounted square "
HY_2903A_Out,%QW0,INT,AO,HY-2903A,"Hand relay/solenoid or I/P converter for pump A, field-mount"
HY_2903B_Out,%QW2,INT,AO,HY-2903B,"Hand relay/solenoid or I/P converter for pump B, field-mount"
KV_2904_Out,%QW4,INT,AO,KV-2904,"Control valve KV-2904 on inlet utility/bypass line, NOTE 8, "
HS_2901A,%IX0.0,BOOL,DI,HS-2901A,"Hand switch for pump A (NOTE 9), manual operator pushbutton/"
HS_2901A1,%IX0.1,BOOL,DI,HS-2901A1,"Hand switch LOCAL/REMOTE selector for pump A MCC, panel-moun"
HS_2901A2,%IX0.2,BOOL,DI,HS-2901A2,"Hand switch STOP/START for pump A at MCC, panel-mounted squa"
HS_2901B,%IX0.3,BOOL,DI,HS-2901B,"Hand switch for pump B (NOTE 9), manual operator pushbutton/"
HS_2901B1,%IX0.4,BOOL,DI,HS-2901B1,"Hand switch LOCAL/REMOTE selector for pump B MCC, panel-moun"
HS_2901B2,%IX0.5,BOOL,DI,HS-2901B2,"Hand switch STOP/START for pump B at MCC, panel-mounted squa"
HS_EMERGENCY_STOP_A_2901A,%IX0.6,BOOL,DI,HS-EMERGENCY-STOP-A-2901A,"Hand switch EMERGENCY STOP for pump A, local field circular "
HS_EMERGENCY_STOP_B_2901B,%IX0.7,BOOL,DI,HS-EMERGENCY-STOP-B-2901B,"Hand switch EMERGENCY STOP for pump B, local field circular "
HS_START_STOP_A_2901A,%IX1.0,BOOL,DI,HS-START-STOP-A-2901A,"Hand switch START/STOP for pump A, local field circular symb"
HS_START_STOP_B_2901B,%IX1.1,BOOL,DI,HS-START-STOP-B-2901B,"Hand switch START/STOP for pump B, local field circular symb"
VSHH_2901A,%IX1.2,BOOL,DI,VSHH-2901A,"Vibration switch high-high on pump/motor A, safety function,"
VSHH_2901B,%IX1.3,BOOL,DI,VSHH-2901B,"Vibration switch high-high on pump/motor B, safety function,"
ESD_3200,%QX0.0,BOOL,DO,ESD-3200,"Emergency shutdown system logic node, panel-mounted square s"
MCC_2901A,%QX0.1,BOOL,DO,MCC-2901A,Motor control centre / motor-operated contactor for pump A (
MCC_2901B,%QX0.2,BOOL,DO,MCC-2901B,"Motor control centre / motor-operated contactor for pump B, "
PSD_2917,%QX0.3,BOOL,DO,PSD-2917,Pressure/temperature shutdown device associated with H-234-0
XV_RS_001A_BOT,%QX0.4,BOOL,DO,XV-RS-001A-BOT,RS isolation valve on bottom inlet nozzle of E-234-009 left 
XV_RS_001A_TOP,%QX0.5,BOOL,DO,XV-RS-001A-TOP,RS (ring seal / spectacle blind or isolation) valve on top i
XV_RS_001B_BOT,%QX0.6,BOOL,DO,XV-RS-001B-BOT,RS isolation valve on bottom outlet nozzle of E-234-009 righ
XV_RS_001B_TOP,%QX0.7,BOOL,DO,XV-RS-001B-TOP,RS isolation valve on top outlet nozzle of E-234-009 right s
