Variable Name,Address,Data Type,I/O Type,ISA Tag,Description
TI_2909_Raw,%IW0,INT,AI,TI-2909,"Temperature indicator, square box style, on inlet process li"
TI_2917_Raw,%IW2,INT,AI,TI-2917,"Temperature indicator high-high (HH flag shown), square box,"
TT_2909_Raw,%IW4,INT,AI,TT-2909,"Temperature transmitter on process inlet piping, left side, "
TT_2911_Raw,%IW6,INT,AI,TT-2911,Temperature transmitter on outlet/right side process piping 
TT_2917_Raw,%IW8,INT,AI,TT-2917,"Temperature transmitter, right side top area, feeds TY-2911 "
XI_2901A_Raw,%IW10,INT,AI,XI-2901A,"Status indicator AVAILABLE for motor/equipment 2901A, square"
XI_2901B_Raw,%IW12,INT,AI,XI-2901B,"Status indicator AVAILABLE for motor/equipment 2901B, square"
HY_2903A_Out,%QW0,INT,AO,HY-2903A,"Hand relay/signal converter (circle), left side, receives si"
HY_2903B_Out,%QW2,INT,AO,HY-2903B,"Hand relay/signal converter (circle), right side, drives con"
ESD_3200,%IX0.0,BOOL,DI,ESD-3200,"Emergency shutdown input signal (square box ESD 3200), appea"
HS_2901A,%IX0.1,BOOL,DI,HS-2901A,"Hand switch for motor/equipment 2901A, left side panel. NOTE"
HS_2901A_ESTOP,%IX0.2,BOOL,DI,HS-2901A-ESTOP,"Hand switch EMERGENCY STOP (circle symbol, field-mounted), N"
HS_2901A_START,%IX0.3,BOOL,DI,HS-2901A-START,"Hand switch START/STOP (circle symbol, field-mounted), NOTE "
HS_2901A1,%IX0.4,BOOL,DI,HS-2901A1,"Hand switch LOCAL/REMOTE selector for motor 2901A at MCC, sq"
HS_2901A2,%IX0.5,BOOL,DI,HS-2901A2,"Hand switch STOP/START for motor 2901A, square box, with SEQ"
HS_2901B,%IX0.6,BOOL,DI,HS-2901B,"Hand switch for motor/equipment 2901B, right side panel. NOT"
HS_2901B_ESTOP,%IX0.7,BOOL,DI,HS-2901B-ESTOP,"Hand switch EMERGENCY STOP (circle symbol, field-mounted), N"
HS_2901B_START,%IX1.0,BOOL,DI,HS-2901B-START,"Hand switch START/STOP (circle symbol, field-mounted), NOTE "
HS_2901B1,%IX1.1,BOOL,DI,HS-2901B1,"Hand switch LOCAL/REMOTE selector for motor 2901B at MCC, sq"
HS_2901B2,%IX1.2,BOOL,DI,HS-2901B2,"Hand switch STOP/START for motor 2901B, square box, with SEQ"
PSD_2917,%IX1.3,BOOL,DI,PSD-2917,"Pressure shutdown switch/device, square box top right, assoc"
VSHH_2901A,%IX1.4,BOOL,DI,VSHH-2901A,Vibration switch high-high on pump/motor 2901A (left). Safet
VSHH_2901B,%IX1.5,BOOL,DI,VSHH-2901B,Vibration switch high-high on pump/motor 2901B (right). Safe
KV_2904,%QX0.0,BOOL,DO,KV-2904,"Time/schedule-controlled valve or solenoid valve, square box"
