Tag,Component Type,Fault Mode,Local Effect,System Effect,Detection Method,Severity,Recommended Action
FT-10,Instrument (T),high,False high flow reading,Controller drives valve closed unnecessarily,Process cross-check with DP; NAMUR NE 107 Out-of-Spec alarm,major,Inspect impulse lines; calibrate or replace transmitter
FT-10,Instrument (T),low,False low / zero flow reading,Controller opens valve — possible overflow or runaway,NAMUR NE 107 Failure alarm; low-flow interlock check,critical,"Inspect for blocked impulse line, check power supply; replace if failed"
FT-11,Instrument (T),high,False high flow reading,Controller drives valve closed unnecessarily,Process cross-check with DP; NAMUR NE 107 Out-of-Spec alarm,major,Inspect impulse lines; calibrate or replace transmitter
FT-11,Instrument (T),low,False low / zero flow reading,Controller opens valve — possible overflow or runaway,NAMUR NE 107 Failure alarm; low-flow interlock check,critical,"Inspect for blocked impulse line, check power supply; replace if failed"
Fv-3-3040,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
Fv-3-3040,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
Fv-3-3040,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
Fv-3-3040,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
Fv-3-3041,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
Fv-3-3041,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
Fv-3-3041,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
Fv-3-3041,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
ISA-SV-3040,Solenoid Valve,fail_to_close,ESD valve does not close on demand,Safety function unavailable — process hazard propagates,Partial stroke test (PST); SIL proof-test schedule,critical,Immediate proof-test; check coil continuity and air supply
ISA-SV-3040,Solenoid Valve,spurious_trip,Valve closes without demand,Nuisance shutdown — production loss,Spurious trip log; review MTTR,major,Check for voltage spike / EMI on coil; review wiring
ISA-SV-3041,Solenoid Valve,fail_to_close,ESD valve does not close on demand,Safety function unavailable — process hazard propagates,Partial stroke test (PST); SIL proof-test schedule,critical,Immediate proof-test; check coil continuity and air supply
ISA-SV-3041,Solenoid Valve,spurious_trip,Valve closes without demand,Nuisance shutdown — production loss,Spurious trip log; review MTTR,major,Check for voltage spike / EMI on coil; review wiring
V-201A,Vessel,high_pressure,Vessel overpressure,Structural integrity risk; PRV / PSV demand,PSV-102 or rupture disc; PAH alarm,critical,Activate ESD; verify PSV lift; investigate cause after isolation
V-201A,Vessel,high_level,Liquid overflow,Flooding downstream equipment; pump cavitation,LSH alarm; LHH trip,critical,Activate level shutdown; divert flow; inspect level instrument
V-201A,Vessel,low_level,Vessel runs dry,Pump cavitation; loss of process,LSL alarm; LLL trip,major,Reduce outflow; check inlet isolation valves
V-504A,Vessel,high_pressure,Vessel overpressure,Structural integrity risk; PRV / PSV demand,PSV-102 or rupture disc; PAH alarm,critical,Activate ESD; verify PSV lift; investigate cause after isolation
V-504A,Vessel,high_level,Liquid overflow,Flooding downstream equipment; pump cavitation,LSH alarm; LHH trip,critical,Activate level shutdown; divert flow; inspect level instrument
V-504A,Vessel,low_level,Vessel runs dry,Pump cavitation; loss of process,LSL alarm; LLL trip,major,Reduce outflow; check inlet isolation valves
M-08,Mixer,shaft_seal_leak,Agitator shaft seal leak,Loss of containment; fugitive emission,Seal-pot level alarm; visual inspection,major,Switch to spare; replace mechanical seal
M-08,Mixer,imbalance,Rotational imbalance (blade damage),Excessive vibration; bearing failure imminent,VT-trending; motor-current anomaly,major,Stop unit; inspect impeller for erosion / blade loss
R-102,Reactor,thermal_runaway,Exothermic runaway reaction,Temperature/pressure spike; loss of containment; fire/explosion,Redundant TI with 2oo3 voting; dump / quench / inhibitor system,critical,Activate emergency dump/quench; isolate reactants; follow CCPS guidelines
R-102,Reactor,catalyst_poisoning,Catalyst poisoning / deactivation,Loss of yield; increased feed to meet target; higher temp needed,Product-purity analyser trending; temperature-rise-per-pass,major,Feed-spec review; plan catalyst change-out
R-102,Reactor,coking,Coke / polymer formation,DP rise; hot-spots; channelling,DP-cell trending; skin-TC array,major,Plan decoke / regeneration; review feed composition
R-102,Reactor,agitator_fail,Agitator failure in stirred-tank reactor,Loss of mixing — localised hot-spot or runaway,Motor-current trending; shaft-speed monitor,critical,Immediate cooling; dump contents; inspect shaft seal and bearings
