Variable Name,Address,Data Type,I/O Type,ISA Tag,Description
TI_2909_Raw,%IW0,INT,AI,TI-2909,"Temperature indicator, square field-mounted instrument on in"
TI_2917_Raw,%IW2,INT,AI,TI-2917,Temperature indicator with HIGH-HIGH (HH) designation on sec
TT_2909_Raw,%IW4,INT,AI,TT-2909,Temperature transmitter on process inlet line to heat exchan
TT_2911_Raw,%IW6,INT,AI,TT-2911,Temperature transmitter on outlet side of heat exchanger E-2
TT_2917_Raw,%IW8,INT,AI,TT-2917,"Temperature transmitter on utility/secondary side outlet, as"
XI_2901A_Raw,%IW10,INT,AI,XI-2901A,"Status indicator AVAILABLE for pump A, square panel instrume"
XI_2901B_Raw,%IW12,INT,AI,XI-2901B,"Status indicator AVAILABLE for pump B, square panel instrume"
HY_2903A_Out,%QW0,INT,AO,HY-2903A,"Hand computing relay/converter A (left side), receives signa"
HY_2903B_Out,%QW2,INT,AO,HY-2903B,"Hand computing relay/converter B (right side), receives sign"
KV_2904_Out,%QW4,INT,AO,KV-2904,Time-controlled or hand-operated control valve KV-2904 on in
ESD_3200,%IX0.0,BOOL,DI,ESD-3200,"Emergency shutdown device/switch 3200 (appears twice, for pu"
HS_2901A,%IX0.1,BOOL,DI,HS-2901A,"Hand switch for pump/motor A, panel-mounted, used for manual"
HS_2901A1,%IX0.2,BOOL,DI,HS-2901A1,Hand switch LOCAL/REMOTE selector for pump A motor starter a
HS_2901A2,%IX0.3,BOOL,DI,HS-2901A2,Hand switch STOP/START for pump A at MCC panel
HS_2901B,%IX0.4,BOOL,DI,HS-2901B,"Hand switch for pump/motor B, panel-mounted, used for manual"
HS_2901B1,%IX0.5,BOOL,DI,HS-2901B1,Hand switch LOCAL/REMOTE selector for pump B motor starter a
HS_2901B2,%IX0.6,BOOL,DI,HS-2901B2,Hand switch STOP/START for pump B at MCC panel
HS_ESTOP_A_2901A,%IX0.7,BOOL,DI,HS-ESTOP-A-2901A,"Hand switch EMERGENCY STOP (circular, field-mounted) for pum"
HS_ESTOP_B_2901B,%IX1.0,BOOL,DI,HS-ESTOP-B-2901B,"Hand switch EMERGENCY STOP (circular, field-mounted) for pum"
HS_START_STOP_A_2901A,%IX1.1,BOOL,DI,HS-START-STOP-A-2901A,"Hand switch START/STOP (circular, field-mounted) for pump A,"
HS_START_STOP_B_2901B,%IX1.2,BOOL,DI,HS-START-STOP-B-2901B,"Hand switch START/STOP (circular, field-mounted) for pump B,"
PSD_2917,%IX1.3,BOOL,DI,PSD-2917,Pressure switch/safety device associated with H-234-001 TRIP
VSHH_2901A,%IX1.4,BOOL,DI,VSHH-2901A,"Vibration switch high-high on pump/motor A (left), safety fu"
VSHH_2901B,%IX1.5,BOOL,DI,VSHH-2901B,"Vibration switch high-high on pump/motor B (right), safety f"
